4.61545865,-74.1589357
4.66997385,-74.13379101
4.69204907,-74.05169755
4.63404162,-74.1901401
4.71467519,-74.03673132
4.69996178,-74.04157763
4.63408974,-74.15327954
4.73400704,-74.0431358
4.67513063,-74.10744866
4.71505592,-74.03423562
4.66522303,-74.08258341
4.58641421,-74.16713544
4.65458562,-74.13939444
4.74560357,-74.06293732
4.75522581,-74.04962994
4.69243435,-74.04160483
4.69853234,-74.0368204
4.72492154,-74.04960798
4.69797046,-74.04947391
4.66990765,-74.12222597
4.72392481,-74.04767332
None,None
4.75787758,-74.03243344
4.5050481,-74.1059842
4.69599429,-74.06621284
None,None
4.69408801,-74.05130027
None,None
4.64856315,-74.07974274
4.58446076,-74.09252699
4.6999037,-74.08992767
4.64680565,-74.16027478
4.64224187,-74.14150211
4.5892495,-74.15227055
4.63414912,-74.16526989
4.54045655,-74.09586679
4.63401067,-74.10944964
4.73978169,-74.02166485
None,None
None,None
4.60518815,-74.133154
4.62102012,-74.18554536
None,None
4.63141076,-74.18955077
4.6143159,-74.10858668
None,None
4.63173439,-74.18403283
4.56635209,-74.07087995
None,None
4.60438364,-74.19968214
4.72210449,-74.09604088
4.59116583,-74.13575975
None,None
4.70452199,-74.10262179
4.6840479,-74.13905613
4.63034121,-74.16991725
4.60190368,-74.12981983
None,None
4.61638313,-74.10771099
4.74194884,-74.10978276
4.59059515,-74.16622752
None,None
4.74056655,-74.10863177
None,None
None,None
4.55091704,-74.15034968
4.73379735,-74.09551061
4.58201539,-74.07772376
4.7224899,-74.09197328
4.57506787,-74.1114108
4.55877853,-74.12444627
None,None
4.5863585,-74.07066019
4.74520476,-74.10209015
4.59255194,-74.17717508
4.56592443,-74.10392674
4.57259182,-74.16662984
4.56344485,-74.10130856
None,None
None,None
None,None
4.58291937,-74.12464387
4.56434355,-74.15297051
4.55548761,-74.11724049
4.67304227,-74.0983757
4.58688469,-74.12513499
None,None
4.59165332,-74.17441523
4.55977733,-74.09981713
4.57087818,-74.12038973
None,None
None,None
4.54301426,-74.10695022
4.53991185,-74.15139875
4.56523972,-74.12453114
None,None
4.54905321,-74.11312746
None,None
None,None
4.58741528,-74.13739498
4.5603993,-74.12314085
4.52215005,-74.090401
None,None
4.56476759,-74.15148497
None,None
4.57254391,-74.15779728
4.56648215,-74.13827481
4.54730547,-74.10036958
4.53276162,-74.14786845
4.68413477,-74.08890308
4.59208582,-74.17457904
None,None
4.56257787,-74.15074993
None,None
None,None
None,None
4.52793715,-74.09228565
None,None
4.55615254,-74.09454899
4.74325687,-74.03619443
4.71070307,-74.12674791
None,None
None,None
4.55014084,-74.0986316
4.53686047,-74.1434296
None,None
4.52860763,-74.08338922
4.76119882,-74.02374205
4.73037117,-74.09135137
None,None
None,None
None,None
4.73088659,-74.02381065
4.74221258,-74.02406007
4.76098931,-74.03311193
4.62355871,-74.15967355
4.62306309,-74.16059804
4.75867416,-74.02515315
4.49670976,-74.10796421
4.60977696,-74.07421697
4.63555401,-74.16454328
4.76594368,-74.03958784
4.50313218,-74.11982699
None,None
4.63516703,-74.15164428
4.64685885,-74.05401451
4.63443545,-74.05787145
4.6544484,-74.07984169
None,None
None,None
None,None
4.71633581,-74.06445234
4.68271951,-74.1413153
4.58664936,-74.07947713
4.66911449,-74.07443284
4.60787945,-74.14393943
4.6761469,-74.09078049
None,None
None,None
4.72394542,-74.08885531
None,None
4.59261868,-74.08724553
4.74098586,-74.08460322
4.58508237,-74.07383193
None,None
4.53859408,-74.08208209
4.59187322,-74.11181326
4.61114565,-74.19704171
None,None
4.6212073,-74.16667794
4.71589849,-74.13967355
4.71507036,-74.11959543
4.58821191,-74.1016725
4.60250731,-74.10921614
None,None
None,None
4.48813519,-74.10143369
4.52639784,-74.1166701
4.53517833,-74.11043852
4.51341007,-74.10665031
None,None
None,None
4.52667221,-74.11224409
None,None
4.51026811,-74.1185827
4.50706487,-74.10705855
None,None
None,None
4.51189294,-74.11143244
4.66854222,-74.06871252
4.56467177,-74.12748242
None,None
None,None
4.61263518,-74.19538587
4.60332383,-74.16333797
4.61129547,-74.19151628
4.62306575,-74.19307578
4.61089639,-74.19018908
4.61188983,-74.19783847
4.62592727,-74.19016753
4.60518432,-74.17347563
4.61725224,-74.17707054
None,None
4.62218773,-74.12660962
4.64029118,-74.16940087
4.65128163,-74.13608949
4.61422851,-74.17845504
4.60920708,-74.16266881
4.66999404,-74.08131662
4.61033767,-74.09440232
None,None
None,None
4.69152377,-74.15665224
4.60007186,-74.12676294
4.65490256,-74.05893591
4.73868048,-74.09909997
4.58057602,-74.12866614
4.7437401,-74.08750904
4.64888259,-74.08513215
4.65086157,-74.06906756
4.6765272,-74.06449009
