No.Inscripción,comentarios,Nombre,TIPO,LOCALIDAD,DIRECCIÓN,UPZ,TELEFONO,FECHA-DE- INSCRIPCION
338,,JARDÍN INFANTIL Y MATERNAL TIA PAQUIS,SED-PRI,USAQUÉN,KR 23 142 10,LOS CEDROS,6252665,12/02/2007343,,JARDÍN INFANTIL MUNDO MONTESSORI,PRI,USAQUÉN,CL 114 A 18 C 17,"SANTA BÁRBARA",6193429,13/02/2007
343,,JARDÍN INFANTIL MUNDO MONTESSORI,PRI,USAQUÉN,CL 114 A 18 C 17,"SANTA BÁRBARA",6193429,13/02/2007356,,GIMNASIO RAYMOND,SED-PRI,FONTIBÓN,KR 82 24 A 13,MODELIA,8054130,15/02/2007
356,,GIMNASIO RAYMOND,SED-PRI,FONTIBÓN,KR 82 24 A 13,MODELIA,8054130,15/02/2007358,,PREESCOLAR TIM,SED-PRI,USAQUÉN,KR 20 140 22,LOS CEDROS,2168093,15/02/2007
358,,PREESCOLAR TIM,SED-PRI,USAQUÉN,KR 20 140 22,LOS CEDROS,2168093,15/02/2007377,,COLEGIO COLSUBSIDIO CIUDADELA,SED-PRI,ENGATIVÁ,CL 83A 110 58,BOLIVIA,4318181,20/02/2007
377,,COLEGIO COLSUBSIDIO CIUDADELA,SED-PRI,ENGATIVÁ,CL 86 110 58,BOLIVIA,4318181,20/02/2007378,,JARDÍN INFANTIL PECOSITOS,PRI,USAQUÉN,KR 10 A 181 A 04,VERBENAL,6797544,20/02/2007
378,,JARDÍN INFANTIL PECOSITOS,PRI,USAQUÉN,KR 10 A 181 A 04,VERBENAL,6797544,20/02/2007380,,JARDÍN INFANTIL MIS PRIMEROS TRAZOS,PRI,USME,CL 87 B SUR 3 05,COMUNEROS,7622290,20/02/2007
380,,JARDÍN INFANTIL MIS PRIMEROS TRAZOS,PRI,USME,CL 87 B SUR 3 05,COMUNEROS,7622290,20/02/2007384,,SAINT MARY NURSERY & PRESCHOOL,PRI,SUBA,TV 57 108 08,LA ALHAMBRA,"5162682 - 5174271 - 2531812",20/02/2007
384,,SAINT MARY NURSERY & PRESCHOOL,PRI,SUBA,TV 57 108 08,LA ALHAMBRA,"5162682 - 5174271 - 2531812",20/02/2007385,,GIMNASIO INFANTIL CREARTE SAS,PRI,KENNEDY,"CL 36 A 78 C 30 SUR","KENNEDY CENTRAL",4916976,20/02/2007
385,,GIMNASIO INFANTIL CREARTE SAS,PRI,KENNEDY,"CL 36 A 78 C 30 SUR INTERIOR 12 SUPER MANZANA 7","KENNEDY CENTRAL",4916976,20/02/2007387,,CENTRO INFANTIL BLANCO Y NEGRO Y CIA LTDA,PRI,USAQUÉN,KR 19 A 106 A 33,"SANTA BÁRBARA",2137318,22/02/2007
387,,CENTRO INFANTIL BLANCO Y NEGRO Y CIA LTDA,PRI,USAQUÉN,KR 19 A 106 A 33,"SANTA BÁRBARA",2137318,22/02/2007412,,EL PORTAL FUNDACIÓN PARA HIJOS DE RECLUSOS,ICBF,RAFAEL URIBE URIBE,AV 13 62 40 SUR,APOGEO,7142243,26/02/2007
